STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00190736,"BLUE HILL COOP, MA US",1/1/15,0,0,0,28,15,18
USC00190736,"BLUE HILL COOP, MA US",1/2/15,0,0,0,32,18,30
USC00190736,"BLUE HILL COOP, MA US",1/3/15,0,0,0,37,21,22
USC00190736,"BLUE HILL COOP, MA US",1/4/15,0.98,2.5,1,41,22,35
USC00190736,"BLUE HILL COOP, MA US",1/5/15,0.17,0,0,51,33,35
USC00190736,"BLUE HILL COOP, MA US",1/6/15,0,0,0,35,11,12
USC00190736,"BLUE HILL COOP, MA US",1/7/15,0.02,0.4,0,15,10,12
USC00190736,"BLUE HILL COOP, MA US",1/8/15,0.01,0.3,0,22,-5,-5
USC00190736,"BLUE HILL COOP, MA US",1/9/15,0,0,0,24,-5,24
USC00190736,"BLUE HILL COOP, MA US",1/10/15,0.08,0.9,1,27,12,12
USC00190736,"BLUE HILL COOP, MA US",1/11/15,0,0,0,22,9,10
USC00190736,"BLUE HILL COOP, MA US",1/12/15,0,0,0,34,10,34
USC00190736,"BLUE HILL COOP, MA US",1/13/15,0.23,0,0,36,19,19
USC00190736,"BLUE HILL COOP, MA US",1/14/15,0,0,0,22,11,13
USC00190736,"BLUE HILL COOP, MA US",1/15/15,0.04,0.4,0,23,12,22
USC00190736,"BLUE HILL COOP, MA US",1/16/15,0.05,0.4,1,27,19,20
USC00190736,"BLUE HILL COOP, MA US",1/17/15,0,0,0,35,5,6
USC00190736,"BLUE HILL COOP, MA US",1/18/15,0,0,0,32,6,32
USC00190736,"BLUE HILL COOP, MA US",1/19/15,0.16,0,0,50,32,33
USC00190736,"BLUE HILL COOP, MA US",1/20/15,0,0,0,42,26,27
USC00190736,"BLUE HILL COOP, MA US",1/21/15,0,0,0,36,17,18
USC00190736,"BLUE HILL COOP, MA US",1/22/15,0,0,0,30,17,27
USC00190736,"BLUE HILL COOP, MA US",1/23/15,0,0,0,36,18,18
USC00190736,"BLUE HILL COOP, MA US",1/24/15,0.2,2.1,2,36,18,30
USC00190736,"BLUE HILL COOP, MA US",1/25/15,0.66,2.9,5,32,26,29
USC00190736,"BLUE HILL COOP, MA US",1/26/15,0,0,4,34,9,10
USC00190736,"BLUE HILL COOP, MA US",1/27/15,1.58,15.5,12,26,9,12
USC00190736,"BLUE HILL COOP, MA US",1/28/15,0.86,15.3,22,16,8,9
USC00190736,"BLUE HILL COOP, MA US",1/29/15,0,0,22,22,9,12
USC00190736,"BLUE HILL COOP, MA US",1/30/15,0.01,0.2,17,33,12,29
USC00190736,"BLUE HILL COOP, MA US",1/31/15,0.12,2,16,32,8,9
USC00190736,"BLUE HILL COOP, MA US",2/1/15,0,0,16,20,8,9
USC00190736,"BLUE HILL COOP, MA US",2/2/15,0.34,3.7,18,28,9,21
USC00190736,"BLUE HILL COOP, MA US",2/3/15,1.19,12.8,24,29,0,2
USC00190736,"BLUE HILL COOP, MA US",2/4/15,0,0,24,21,1,17
USC00190736,"BLUE HILL COOP, MA US",2/5/15,0,0,22,36,16,32
USC00190736,"BLUE HILL COOP, MA US",2/6/15,0.15,3.5,24,32,-2,0
USC00190736,"BLUE HILL COOP, MA US",2/7/15,0,0,23,19,0,18
USC00190736,"BLUE HILL COOP, MA US",2/8/15,0.32,5,27,26,18,26
USC00190736,"BLUE HILL COOP, MA US",2/9/15,0.93,9.6,32,29,11,17
USC00190736,"BLUE HILL COOP, MA US",2/10/15,1.32,13.1,38,19,12,15
USC00190736,"BLUE HILL COOP, MA US",2/11/15,0,0,36,28,14,18
USC00190736,"BLUE HILL COOP, MA US",2/12/15,0.03,1.4,36,19,14,17
USC00190736,"BLUE HILL COOP, MA US",2/13/15,0.02,0.6,35,28,4,5
USC00190736,"BLUE HILL COOP, MA US",2/14/15,0,0,34,15,1,3
USC00190736,"BLUE HILL COOP, MA US",2/15/15,0.96,19.1,45,26,3,18
USC00190736,"BLUE HILL COOP, MA US",2/16/15,0.21,2.5,45,18,-8,-4
USC00190736,"BLUE HILL COOP, MA US",2/17/15,0,0,43,17,-4,9
USC00190736,"BLUE HILL COOP, MA US",2/18/15,0.12,2,44,21,8,16
USC00190736,"BLUE HILL COOP, MA US",2/19/15,0.09,3.9,44,28,15,20
USC00190736,"BLUE HILL COOP, MA US",2/20/15,0.02,0.3,41,26,0,1
USC00190736,"BLUE HILL COOP, MA US",2/21/15,0,0,40,15,0,7
USC00190736,"BLUE HILL COOP, MA US",2/22/15,0.34,2.2,40,33,6,31
USC00190736,"BLUE HILL COOP, MA US",2/23/15,0.02,0.2,38,39,25,25
USC00190736,"BLUE HILL COOP, MA US",2/24/15,0,0,37,26,-6,-4
USC00190736,"BLUE HILL COOP, MA US",2/25/15,0.07,3.1,39,22,-4,15
USC00190736,"BLUE HILL COOP, MA US",2/26/15,0,0,38,32,13,16
USC00190736,"BLUE HILL COOP, MA US",2/27/15,0.04,0.6,38,21,9,11
USC00190736,"BLUE HILL COOP, MA US",2/28/15,0,0,37,25,5,7
USC00190736,"BLUE HILL COOP, MA US",3/1/15,0,0,36,30,7,17
USC00190736,"BLUE HILL COOP, MA US",3/2/15,0.24,2.9,38,29,16,26
USC00190736,"BLUE HILL COOP, MA US",3/3/15,0,0,37,35,13,16
USC00190736,"BLUE HILL COOP, MA US",3/4/15,0.38,2.8,37,37,16,35
USC00190736,"BLUE HILL COOP, MA US",3/5/15,0,0,35,41,29,30
USC00190736,"BLUE HILL COOP, MA US",3/6/15,0.02,0.2,34,30,5,7
USC00190736,"BLUE HILL COOP, MA US",3/7/15,0,0,33,26,6,14
USC00190736,"BLUE HILL COOP, MA US",3/8/15,0,0,33,38,14,29
USC00190736,"BLUE HILL COOP, MA US",3/9/15,0,0,33,41,28,30
USC00190736,"BLUE HILL COOP, MA US",3/10/15,0,0,31,45,30,35
USC00190736,"BLUE HILL COOP, MA US",3/11/15,0.11,0,27,52,35,40
USC00190736,"BLUE HILL COOP, MA US",3/12/15,0,0,24,55,32,32
USC00190736,"BLUE HILL COOP, MA US",3/13/15,0,0,23,36,18,21
USC00190736,"BLUE HILL COOP, MA US",3/14/15,0,0,21,40,21,33
USC00190736,"BLUE HILL COOP, MA US",3/15/15,0.84,0,21,41,33,34
USC00190736,"BLUE HILL COOP, MA US",3/16/15,0.03,0.6,21,41,23,26
USC00190736,"BLUE HILL COOP, MA US",3/17/15,0.07,0,18,44,26,35
USC00190736,"BLUE HILL COOP, MA US",3/18/15,0.1,0,16,48,20,21
USC00190736,"BLUE HILL COOP, MA US",3/19/15,0,0,16,30,15,17
USC00190736,"BLUE HILL COOP, MA US",3/20/15,0,0,16,31,17,23
USC00190736,"BLUE HILL COOP, MA US",3/21/15,0.08,1.1,17,32,23,27
USC00190736,"BLUE HILL COOP, MA US",3/22/15,0.09,0.7,16,41,22,23
USC00190736,"BLUE HILL COOP, MA US",3/23/15,0,0,15,32,14,16
USC00190736,"BLUE HILL COOP, MA US",3/24/15,0,0,15,31,16,19
USC00190736,"BLUE HILL COOP, MA US",3/25/15,0,0,14,39,19,33
USC00190736,"BLUE HILL COOP, MA US",3/26/15,0.08,0,13,48,33,42
USC00190736,"BLUE HILL COOP, MA US",3/27/15,0.76,0,10,54,36,36
USC00190736,"BLUE HILL COOP, MA US",3/28/15,0.05,0.6,9,39,32,32
USC00190736,"BLUE HILL COOP, MA US",3/29/15,0.4,4.4,14,33,21,23
USC00190736,"BLUE HILL COOP, MA US",3/30/15,0,0,11,40,23,33
USC00190736,"BLUE HILL COOP, MA US",3/31/15,0,0,10,43,32,36
USC00190736,"BLUE HILL COOP, MA US",4/1/15,0,0,8,46,26,30
USC00190736,"BLUE HILL COOP, MA US",4/2/15,0,0,7,44,29,34
USC00190736,"BLUE HILL COOP, MA US",4/3/15,0.01,0,3,59,34,50
USC00190736,"BLUE HILL COOP, MA US",4/4/15,0.33,0,0,56,43,44
USC00190736,"BLUE HILL COOP, MA US",4/5/15,0,0,0,49,30,34
USC00190736,"BLUE HILL COOP, MA US",4/6/15,0,0,0,47,33,38
USC00190736,"BLUE HILL COOP, MA US",4/7/15,0.02,0,0,48,36,38
USC00190736,"BLUE HILL COOP, MA US",4/8/15,0.11,0,0,39,33,36
USC00190736,"BLUE HILL COOP, MA US",4/9/15,0.71,0,0,41,32,32
USC00190736,"BLUE HILL COOP, MA US",4/10/15,0.24,0,0,37,32,36
USC00190736,"BLUE HILL COOP, MA US",4/11/15,0.01,0,0,53,36,48
USC00190736,"BLUE HILL COOP, MA US",4/12/15,0,0,0,56,35,40
USC00190736,"BLUE HILL COOP, MA US",4/13/15,0,0,0,68,40,51
USC00190736,"BLUE HILL COOP, MA US",4/14/15,0.01,0,0,69,50,57
USC00190736,"BLUE HILL COOP, MA US",4/15/15,0.04,0,0,65,45,49
USC00190736,"BLUE HILL COOP, MA US",4/16/15,0,0,0,67,42,49
USC00190736,"BLUE HILL COOP, MA US",4/17/15,0.11,0,0,64,45,48
USC00190736,"BLUE HILL COOP, MA US",4/18/15,0.05,0,0,64,46,53
USC00190736,"BLUE HILL COOP, MA US",4/19/15,0,0,0,64,40,44
USC00190736,"BLUE HILL COOP, MA US",4/20/15,0,0,0,55,38,40
USC00190736,"BLUE HILL COOP, MA US",4/21/15,1.41,0,0,56,40,56
USC00190736,"BLUE HILL COOP, MA US",4/22/15,0,0,0,67,47,52
